,Source,Sequence,Tweet,Date,Compound,Positive,Neutral,Negative
0,BBC,1,"RT @BBC6Music: 👏 What was the best gig you saw in June?

🎟 What exciting things have you got coming up in July?",Sun Jul 01 20:43:50 +0000 2018,0.8299,0.29,0.71,0.0
1,BBC,2,"RT @bbc5live: “We said jokingly, ‘is it a shark?!’” 😲🦈

A great white shark has been spotted in Spanish waters for the first time in over 4…",Sun Jul 01 19:36:52 +0000 2018,0.6588,0.155,0.845,0.0
2,BBC,3,"Get unprecedented access to the hidden world of elite gymnasts in Russia. 🤸‍♀️

Storyville: Olympic Dreams of Russi… https://t.co/2ZhaGsysoa",Sun Jul 01 19:27:02 +0000 2018,0.4019,0.13,0.87,0.0
3,BBC,4,"✈️🌍 @RomeshRanga travels way beyond his comfort zone to some of the most beautiful, but dangerous, places on earth.… https://t.co/ud4Vni3WW2",Sun Jul 01 19:02:03 +0000 2018,-0.2957,0.168,0.657,0.176
4,BBC,5,"Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",Sun Jul 01 18:00:19 +0000 2018,-0.0516,0.211,0.515,0.273
5,BBC,6,"RT @BBCSport: Two-time champion Andy Murray has withdrawn from #Wimbledon on the eve of the tournament.

More: https://t.co/Ngi3D5UZQF http…",Sun Jul 01 17:58:17 +0000 2018,0.5994,0.178,0.822,0.0
6,BBC,7,Experienced sailor Emily Penn has set out with an all-female crew to investigate the world's largest accumulation o… https://t.co/WQ0W3RPHRk,Sun Jul 01 17:07:02 +0000 2018,0.0,0.0,1.0,0.0
7,BBC,8,"RT @BBCMOTD: Bring on penalties!

#ESPRUS #WorldCup https://t.co/feSCpfSUWI",Sun Jul 01 16:32:14 +0000 2018,0.0,0.0,1.0,0.0
8,BBC,9,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/S6gXo5Yfgv",Sun Jul 01 16:06:03 +0000 2018,0.0,0.0,1.0,0.0
9,BBC,10,When Natasha was 14 she had nowhere to call home. https://t.co/O5w2JzIWFh,Sun Jul 01 15:07:02 +0000 2018,0.0,0.0,1.0,0.0
10,BBC,11,RT @BBCTwo: Happy #CanadaDay to the hilarious @kathbum! Here are all your very best bits from #LiveAtTheApollo! ❤️🇨🇦 https://t.co/VHpkGeR2ia,Sun Jul 01 14:19:37 +0000 2018,0.9096,0.418,0.582,0.0
11,BBC,12,"RT @BBCScotland: The remarkable Viking discovery on the Isle of Skye.

See more from Scotland from the Sky https://t.co/FRtwE5IzGA https://…",Sun Jul 01 13:32:20 +0000 2018,0.5574,0.159,0.841,0.0
12,BBC,13,RT @bbcthree: Georgina organises parties to help combat loneliness. She's 96 years old. https://t.co/VGZ1LB6FoW,Sun Jul 01 13:08:41 +0000 2018,0.0516,0.262,0.485,0.252
13,BBC,14,❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,Sun Jul 01 13:04:05 +0000 2018,0.5859,0.322,0.678,0.0
14,BBC,15,"RT @bbcstories: The incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's (@donaldglover’s) #ThisIsAmerica video, say…",Sun Jul 01 11:53:09 +0000 2018,-0.296,0.0,0.855,0.145
15,BBC,16,"RT @bbcarts: David Attenborough on the artistic abilities of animals, including the great reed warbler, peacock jumping spider and Japanese…",Sun Jul 01 11:52:12 +0000 2018,0.7269,0.253,0.747,0.0
16,BBC,17,Got a sour taste in your mouth? https://t.co/sFxRSJzwaN,Sun Jul 01 11:04:03 +0000 2018,0.0,0.0,1.0,0.0
17,BBC,18,"☄️🔭 71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. https://t.co/fjWUaZC4zQ",Sun Jul 01 10:08:02 +0000 2018,-0.7003,0.0,0.734,0.266
18,BBC,19,🇬🇧 Life on Great Britain's outer islands is not always easy - but that hasn't stopped people making them their home… https://t.co/5654v897yH,Sun Jul 01 09:03:08 +0000 2018,0.4303,0.188,0.742,0.07
19,BBC,20,"How did we get here; to a world full of plastic?

#PlasticsAction https://t.co/LwY3W2RC61",Sun Jul 01 08:07:00 +0000 2018,0.0,0.0,1.0,0.0
20,BBC,21,"Half of all people who drown never intended to be in the water.

Knowing how to stay afloat could save your life 👇 https://t.co/94IezeCREn",Sun Jul 01 07:04:01 +0000 2018,-0.128,0.115,0.753,0.133
21,BBC,22,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 19:56:38 +0000 2018,0.5707,0.15,0.85,0.0
22,BBC,23,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 19:50:50 +0000 2018,-0.5106,0.153,0.491,0.356
23,BBC,24,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 19:27:05 +0000 2018,-0.6705,0.0,0.766,0.234
24,BBC,25,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
25,BBC,26,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
26,BBC,27,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 17:04:00 +0000 2018,0.3802,0.166,0.834,0.0
27,BBC,28,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 16:04:06 +0000 2018,0.0,0.0,1.0,0.0
28,BBC,29,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 16:03:09 +0000 2018,0.0,0.0,1.0,0.0
29,BBC,30,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 15:07:03 +0000 2018,-0.3818,0.0,0.843,0.157
30,BBC,31,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 13:40:13 +0000 2018,0.5509,0.165,0.835,0.0
31,BBC,32,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 12:58:04 +0000 2018,0.0,0.0,1.0,0.0
32,BBC,33,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 12:13:52 +0000 2018,0.5719,0.134,0.866,0.0
33,BBC,34,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 12:13:40 +0000 2018,0.8224,0.297,0.703,0.0
34,BBC,35,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 12:07:04 +0000 2018,0.0,0.0,1.0,0.0
35,BBC,36,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 11:05:01 +0000 2018,0.0,0.0,1.0,0.0
36,BBC,37,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 10:02:04 +0000 2018,0.1007,0.122,0.878,0.0
37,BBC,38,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 09:23:10 +0000 2018,-0.4404,0.109,0.683,0.208
38,BBC,39,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 09:05:03 +0000 2018,0.0,0.0,1.0,0.0
39,BBC,40,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 08:19:13 +0000 2018,0.0,0.0,1.0,0.0
40,BBC,41,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 08:04:06 +0000 2018,0.0,0.0,1.0,0.0
41,BBC,42,"A heartbreaking look at how our discarded plastics are killing wildlife.
#PlasticsAction https://t.co/R3lZNSDtMa",Sat Jun 30 07:02:00 +0000 2018,-0.8689,0.0,0.479,0.521
42,BBC,43,😂 Dropping MAJOR hints that you want a lift… https://t.co/BC9bJWyOky,Fri Jun 29 18:01:04 +0000 2018,0.0772,0.157,0.843,0.0
43,BBC,44,"🏇💨 Leaving work on a Friday like...
#FridayFeeling https://t.co/3sGXNH5eqM",Fri Jun 29 15:18:58 +0000 2018,0.0,0.0,1.0,0.0
44,BBC,45,"RT @bbcthree: Terrifying ✅
Awkward  ✅
Disappointing  ✅

Turns out @rachelparris' Tinder experience was exactly like everyone else's https:/…",Fri Jun 29 15:05:41 +0000 2018,-0.7184,0.109,0.522,0.37
45,BBC,46,"😭♥️ A cleaner at @BristolUni has been gifted £1,500 after students crowdfunded the money to send him to Jamaica.
👉… https://t.co/RDpCFhIj9j",Fri Jun 29 13:01:05 +0000 2018,0.1779,0.082,0.918,0.0
46,BBC,47,RT @bbcarts: Meet the six new musicians from around the globe who have been selected to join @BBCRadio3's prestigious New Generation Artist…,Fri Jun 29 12:51:35 +0000 2018,0.296,0.095,0.905,0.0
47,BBC,48,"🤔 How many mysterious body parts can you identify from these hyper zoomed in photos?
#JuniorDoctors https://t.co/miuPM0KycI",Fri Jun 29 12:00:19 +0000 2018,0.0,0.0,1.0,0.0
48,BBC,49,"⚡️ How it feels to be hit by lightning + other one in a million chances.
👉 https://t.co/KXzFEzk1rI https://t.co/ZTWl0ZOE0m",Fri Jun 29 11:03:07 +0000 2018,0.2023,0.107,0.893,0.0
49,BBC,50,RT @bbcthree: Endometriosis feels like being punched in the vagina with sharp knives. #HearHer https://t.co/pOuZyJObic,Fri Jun 29 09:56:50 +0000 2018,0.3612,0.152,0.848,0.0
50,BBC,51,♻️💵🇬🇭 Turning plastic trash into cash in Ghana. https://t.co/v3CTho7nnD,Fri Jun 29 08:00:12 +0000 2018,0.0,0.0,1.0,0.0
51,BBC,52,"New research shows that our views, even on politics, are changing all the time... just not for the reasons you’d ex… https://t.co/iMz9pEItxv",Fri Jun 29 07:29:06 +0000 2018,0.0,0.0,1.0,0.0
52,BBC,53,🐛😂 Have you ever tried worm charming? https://t.co/S8BPzCmE8N,Fri Jun 29 07:00:12 +0000 2018,0.5859,0.352,0.648,0.0
53,BBC,54,Tesla chief executive Elon Musk has been accused of using an image of a farting unicorn for his business without pe… https://t.co/kbq6rFYcrM,Thu Jun 28 19:05:04 +0000 2018,-0.296,0.0,0.901,0.099
54,BBC,55,Can changing your body change your life? https://t.co/be3u67fFFS,Thu Jun 28 18:02:05 +0000 2018,0.0,0.0,1.0,0.0
55,BBC,56,RT @bbcthree: Housemates who never take the bins out? A girlfriend who keeps forgetting your name? Let Uncle @RomeshRanga help https://t.co…,Thu Jun 28 16:13:35 +0000 2018,0.4696,0.139,0.861,0.0
56,BBC,57,"Half of all people who drown never intended to be in the water.

Knowing this could save a life 👇 https://t.co/94IezeCREn",Thu Jun 28 16:00:25 +0000 2018,-0.128,0.134,0.711,0.155
57,BBC,58,"RT @BBC6Music: If you could pick just one Erykah Badu (@fatbellybella) tune, which would you choose?

Here's @JanelleMonae on one - maybe t…",Thu Jun 28 15:52:28 +0000 2018,0.0,0.0,1.0,0.0
58,BBC,59,"RT @BBCR1: TONIGHT Elton John (@eltonofficial) picks the Party Playlist for @AnnieMac - you don't want to miss this! Expect Aretha, Rihanna…",Thu Jun 28 15:22:37 +0000 2018,0.4963,0.188,0.761,0.052
